keys,_,en,es
,BOTONES,,
OPTIONS,,OPTIONS,OPCIONES
LOG_UP,,LOG UP,REGISTRARSE
LOG_IN,,LOG IN,INICIAR SESIÓN
EXIT_BTN,,EXIT,SALIR
CANCEL_BTN,,CANCEL,CANCELAR
SAVE_BTN,,SAVE,GUARDAR
LOG_OUT_BTN,,LOG OUT,CERRAR SESIÓN
ACCEPT_BTN,,ACCEPT,ACEPTAR
MENU_BTN,,MENU,MENÚ
,SECCION DE VOLUMEN,,
VOLUME_SECT,,Volume,Volumen
MASTER_OPT,,Master,General
MUSIC_OPT,,Music,Música
SFX_OPT,,SFX,SFX
,SECCION DE USUARIO,,
USER_SECT,,User,Usuario
NAME,,Name,Nombre
,MENU DE INICIO/REGISTRO,,
EMAIL_LOG,,Email,Email
EMAIL_HINT,,user@email.com,usuario@email.com
PASS_LOG,,Password,Contraseña
PASS_HINT,,YourSecurePass123,TuContraSegura123
